Employee #,Last Name,First Name,Birthday,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate
10013,Farala,Martha,01/11/1942,329-034-366,45-5656375-0,2.33694E+11,210-835-851-000,6.3113E+11,Regular,Payroll Rank and File,24000,1500,500,500,12000,142.86
10014,Martinez,Leila,07/11/1970,877-110-749,27-2090996-4,5.15741E+11,275-792-513-000,1.01205E+11,Regular,Payroll Rank and File,24000,1500,500,500,12000,142.86
10015,Romualdez,Fredrick ,03/10/1985,023-079-009,26-8768374-1,3.08367E+11,598-065-761-000,2.23058E+11,Regular,Account Manager,53500,1500,1000,1000,26750,318.45
10016,Mata,Christian,10/21/1987,783-776-744,49-2959312-6,8.24188E+11,103-100-522-000,6.31053E+11,Regular,Account Team Leader,42975,1500,800,800,21488,255.8
10017,De Leon,Selena ,02/20/1975,975-432-139,27-2090208-8,5.87272E+11,482-259-498-000,7.19008E+11,Regular,Account Team Leader,41850,1500,800,800,20925,249.11
10018,San Jose,Allison ,06/24/1986,179-075-129,45-3251383-0,7.45148E+11,121-203-336-000,1.14902E+11,Regular,Account Rank and File,22500,1500,500,500,11250,133.93
10019,Rosario,Cydney ,10/06/1996,868-819-912,49-1629900-2,5.79253E+11,122-244-511-000,2.65104E+11,Regular,Account Rank and File,22500,1500,500,500,11250,133.93
10020,Bautista,Mark ,02/12/1991,683-725-348,49-1647342-5,3.99665E+11,273-970-941-000,2.60055E+11,Regular,Account Rank and File,23250,1500,500,500,11625,138.39
10021,Lazaro,Darlene ,11/25/1985,740-721-558,45-5617168-2,6.06387E+11,354-650-951-000,1.04908E+11,Probationary,Account Rank and File,23250,1500,500,500,11625,138.39
10022,Delos Santos,Kolby ,02/26/1980,739-443-033,52-0109570-6,3.57451E+11,187-500-345-000,1.13018E+11,Probationary,Account Rank and File,24000,1500,500,500,12000,142.86
10023,Santos,Vella ,12/31/1983,955-879-269,52-9883524-3,5.4867E+11,101-558-994-000,3.60028E+11,Probationary,Account Rank and File,22500,1500,500,500,11250,133.93
10024,Del Rosario,Tomas,12/18/1978,882-550-989,45-5866331-6,9.53902E+11,560-735-732-000,9.13109E+11,Probationary,Account Rank and File,22500,1500,500,500,11250,133.93
10025,Tolentino,Jacklyn ,05/19/1984,675-757-366,47-1692793-0,7.53801E+11,841-177-857-000,2.10547E+11,Probationary,Account Rank and File,24000,1500,500,500,12000,142.86
10026,Gutierrez,Percival ,12/18/1970,512-899-876,40-9504657-8,7.97639E+11,502-995-671-000,2.10897E+11,Probationary,Account Rank and File,24750,1500,500,500,12375,147.32
10027,Manalaysay,Garfield ,08/28/1986,948-628-136,45-3298166-4,8.10909E+11,336-676-445-000,2.11274E+11,Probationary,Account Rank and File,24750,1500,500,500,12375,147.32
10028,Villegas,Lizeth ,12/12/1981,332-372-215,40-2400719-4,9.3439E+11,210-395-397-000,1.22238E+11,Probationary,Account Rank and File,24000,1500,500,500,12000,142.86
10029,Ramos,Carol ,08/20/1978,250-700-389,60-1152206-4,3.5183E+11,395-032-717-000,2.12142E+11,Probationary,Account Rank and File,22500,1500,500,500,11250,133.93
10030,Maceda,Emelia ,04/14/1973,973-358-041,54-1331005-0,4.65088E+11,215-973-013-000,5.15013E+11,Probationary,Account Rank and File,22500,1500,500,500,11250,133.93
10031,Aguilar,Delia ,01/27/1989,529-705-439,52-1859253-1,1.36451E+11,599-312-588-000,1.10019E+11,Probationary,Account Rank and File,22500,1500,500,500,11250,133.93
10032,Castro,John Rafael,02/09/1992,332-424-955 ,26-7145133-4,6.01645E+11,404-768-309-000,6.97764E+11,Regular,Sales & Marketing,52670,1500,1000,1000,26335,313.51
10033,Martinez,Carlos Ian,11/16/1990,078-854-208,11-5062972-7,3.80685E+11,256-436-296-000,9.93373E+11,Regular,Supply Chain and Logistics,52670,1500,1000,1000,26335,313.51
10034,Santos,Beatriz,08/07/1990,526-639-511,20-2987501-5,9.1846E+11,911-529-713-000,8.74042E+11,Regular,Customer Service and Relations,52670,1500,1000,1000,26335,313.51
